Program Name,Primary Category,Secondary Tags,Track/Session,Format,Grades,Admission Type,Length,Dates 2026,Location,Credit,Price,URL
CMU Pre-College,Artificial Intelligence,Leadership/Gifted,CS Scholars,Residential,Rising juniors (10th-11th at application),"Fully funded, selective",4 weeks,Jun 20 - Aug 1,"Pittsburgh, PA",No,Free (fully funded),https://www.cmu.edu/pre-college/
CMU Pre-College,STEM/Engineering,,Architecture,Residential/Commuter,Rising Jr/Sr (16 by Jun 20),Selective,5 weeks,Summer 2026,"Pittsburgh, PA",Yes,"Residential $10744; Commuter $8253",https://www.cmu.edu/pre-college/
CMU Pre-College,STEM/Engineering,Biomedical,Computational Biology,Residential/Commuter,Rising Jr/Sr (16 by Jun 20),Selective,4 weeks,Summer 2026,"Pittsburgh, PA",Yes,"Residential $10750; Commuter $8041",https://www.cmu.edu/pre-college/
CMU Pre-College,Arts,,Art,Residential/Commuter,Rising Jr/Sr (16 by Jun 20),Selective,3 or 6 weeks,Summer 2026,"Pittsburgh, PA",Yes,"6-wk Res $12204/Commuter $9039; 3-wk Res $7945/Commuter $6184",https://www.cmu.edu/pre-college/
CMU Pre-College,Arts,,Design,Residential/Commuter,Rising Jr/Sr (16 by Jun 20),Selective,6 weeks,Summer 2026,"Pittsburgh, PA",Yes,"Residential $12204; Commuter $8862",https://www.cmu.edu/pre-college/
CMU Pre-College,Arts,,Drama,Residential/Commuter,Rising Jr/Sr (16 by Jun 20),Selective,6 weeks,Summer 2026,"Pittsburgh, PA",Yes,"Residential $12303; Commuter $8974",https://www.cmu.edu/pre-college/
MIT Research Science Institute (RSI),STEM/Engineering,Leadership/Gifted,,Residential,Current Juniors,Highly competitive (4% acceptance),6 weeks,Jun 28 - Aug 8,"Cambridge, MA",No,Free,https://www.cee.org/programs/research-science-institute
MITES Summer,STEM/Engineering,Leadership/Gifted,,Residential,Current Juniors,Highly selective (deadline Feb 1),6 weeks,Late Jun - Early Aug,"Cambridge, MA",No,Free,https://mites.mit.edu/discover-mites/mites-summer/
Summer Science Program (SSP),STEM/Engineering,,,Residential,Current Juniors,Highly selective (deadline Feb),5 weeks,Mid-Jun - Late Jul,16 US university campuses,No,Up to $11800 (sliding scale),https://summerscience.org/
Lawrence Hall of Science Camps,STEM/Engineering,,Teen research/internship,Commuter,Grades 9-12,Application,1-2 weeks,Summer cohorts,"UC Berkeley, CA",No,~$950,https://lawrencehallofscience.org/teen-internship-programs/
Purdue GERI Summer Residential,STEM/Engineering,Leadership/Gifted,,Residential,Grades 6-12,Application,1-2 weeks,Mid-July,"West Lafayette, IN",No,$1500-$2500,https://www.education.purdue.edu/geri/youth-programs/summer-residential/
Columbia SHAPE,STEM/Engineering,,,Commuter,Rising 10-12 & recent grads,Selective,3 weeks/session,"Jul 6-24; Jul 27-Aug 14","New York, NY",No,Contact program (scholarships available),https://outreach.engineering.columbia.edu/shape/
WPI Frontiers,STEM/Engineering,,,Residential,Rising 10-12,"Selective, rolling",2 weeks/session,"Frontiers I: Jul 5-17; Frontiers II: Jul 19-31","Worcester, MA",No,$4495 per session,https://www.wpi.edu/academics/pre-collegiate/summer-programs/frontiers
JHU Engineering Innovation (EI),STEM/Engineering,Biomedical,,Residential/Commuter/Online,HS students with A/B in math & science,Selective,~4 weeks,Jul 1-26 (varies by track),"Baltimore, MD / Hood College / Online",Yes (3 JHU credits),"Tuition $3800 + residential fees $5850-$6100",https://ei.jhu.edu/
Cooper Union Summer STEM,STEM/Engineering,,3-week course,Commuter,Completed 9th-11th grade,Selective,3 weeks,"Jul 6-23; Jul 27-Aug 13","New York, NY",No,$3150,https://cooper.edu/engineering/stem/summer
Cooper Union Summer STEM,STEM/Engineering,,6-week course,Commuter,Completed 9th-11th grade,Selective,6 weeks,Jul 6 - Aug 13,"New York, NY",No,$5150,https://cooper.edu/engineering/stem/summer
UC Davis Young Scholars Program,STEM/Engineering,Biomedical,,Residential,Rising Jr/Sr (16+ by start),Highly selective (~40 students),6 weeks,Jun - Aug,"Davis, CA",Yes (5 units Group Study credit),"~$6500 (need-based reductions up to 90%)",https://education.ucdavis.edu/young-scholars-program
Brown Pre-College (Summer@Brown),STEM/Engineering,College-Credit Pre-College,General courses,Residential/Commuter/Online,Rising 9-12,Rolling/selective,1-6 weeks,Jun 15 - Jul 25,"Providence, RI",Course Performance Report (not formal credit),$3748 (1-wk res) to $10858 (5-wk hybrid res); online from $3364,https://precollege.brown.edu/
Duke Pre-College,College-Credit Pre-College,,,Residential/Commuter,Rising 9-12 (some 6-11),Rolling/selective,2 weeks (12 days)/session,"Session 1: Jun 13-24; Session 2: Jun 28-Jul 9; Session 3: Jul 13-24","Durham, NC",No (non-credit enrichment),"Residential ~$4700-4900; Commuter ~$3200; Online ~$795-2100",https://learnmore.duke.edu/precollege/all-programs
Duke Marine Lab Pre-College,Marine Science,College-Credit Pre-College,,Residential,Grades 9-11,Application,1 week,Late June (TBD),"Beaufort, NC",No,~$3720,https://learnmore.duke.edu/precollege/duke-university-marine-lab
Wake Forest Summer Immersion Program,College-Credit Pre-College,,,Varies,Grades 9-12,Rolling application,1 week per institute,Multiple weeks summer 2026,"Winston-Salem, NC",No,Contact program ($550 nonrefundable deposit + tuition),https://immersion.summer.wfu.edu/
Georgetown Summer College,College-Credit Pre-College,Leadership/Gifted,Summer College,Residential/Commuter,Grades 10-12 (3.0+ GPA),Application,Up to 5 weeks,"Session I: Jun 1-Jul 3; Session II: Jul 6-Aug 7; Session III: Jun 1-Jul 24","Washington, DC",Yes (Georgetown credit),"Avg tuition $7113 + housing $2542 + fees $780",https://summer.georgetown.edu/pre-college-programs/
Georgetown Global Summer,Cultural Exchange,College-Credit Pre-College,"London/Madrid/Beijing/Tokyo (rotates)",Residential,High school,Moderate selectivity,3 weeks,Summer 2026,Rotating global cities,Varies,$4500-$5500 incl. flights,https://summer.georgetown.edu/
Tufts Pre-College,College-Credit Pre-College,,Tufts College Experience,Residential,Rising 10-12,Application (opens Dec 1),6 weeks,Residential: Jul 5 - Aug 14,"Medford, MA",Yes (6-8 credits),Contact program (2026 apps closed due to demand),https://universitycollege.tufts.edu/pre-college/browse/tufts-college-experience
Tufts Pre-College,College-Credit Pre-College,,Intensives/Hallmark Courses,Varies,High school,Rolling,1-3 weeks,Summer 2026,"Medford, MA",Some,Varies by course,https://universitycollege.tufts.edu/pre-college/academics/summer-hallmark-courses
Boston University Summer,College-Credit Pre-College,,High School Honors Program,Residential,High school (rising Jr/Sr typical),Selective (May deadline),6 weeks,Summer 2026,"Boston, MA",Yes,Contact program,https://www.bu.edu/summer/high-school-programs/
Boston University Summer,College-Credit Pre-College,,Academic Immersion,Residential,High school,Rolling,3 weeks,Summer 2026,"Boston, MA",No,Contact program,https://www.bu.edu/summer/high-school-programs/
Boston University Summer,College-Credit Pre-College,,Summer Challenge,Residential,High school,Rolling,2 weeks,Summer 2026,"Boston, MA",No,Contact program,https://www.bu.edu/summer/high-school-programs/
Marist Pre-College,College-Credit Pre-College,,3-credit session,Residential,High school,Rolling,2 weeks/session,"Session I: Jun 28-Jul 11; Session II: Jul 12-25","Poughkeepsie, NY",Yes (3 credits),$3700,https://www.marist.edu/admission/summer-pre-college
Marist Pre-College,College-Credit Pre-College,,6-credit (both sessions),Residential,High school,Rolling,4 weeks (both sessions),Jun 28 - Jul 25,"Poughkeepsie, NY",Yes (6 credits),$6660,https://www.marist.edu/admission/summer-pre-college
UCSB Summer Research Academies,College-Credit Pre-College,STEM/Engineering,,Residential/Commuter,High school,Selective,4+ weeks,Jun 26 - Jul 24,"Santa Barbara, CA",Yes (4 university credits),"Residential ~$8774-11250; Commuter ~$2775",https://www.summer.ucsb.edu/programs/pre-college
UMass Amherst,Writing/Humanities,,Juniper Institute for Young Writers,Residential/Commuter,Rising 10-12,Application (deadline Mar 16),2 weeks,"Session 1: Jul 12-25; Session 2: Jul 26-Aug 8","Amherst, MA",No,"Residential $5200; Commuter $2330",https://www.umass.edu/juniper-young-writers/programs/summer-umass
UMass Amherst Pre-College,College-Credit Pre-College,,General academic intensives,Varies,Rising 10-12,Rolling,1-6 weeks,Summer 2026,"Amherst, MA",Yes (UMass credit),Varies by course - contact program,https://www.umass.edu/uww/pre-college/programs
Case Western Reserve Pre-College,College-Credit Pre-College,,Online courses,Online,High school,"Rolling, open enrollment",Self-paced,Available anytime,Online,No (Certificate of Completion),Contact program,https://case.precollegeprograms.org/
Harvard Pre-College Program,College-Credit Pre-College,Leadership/Gifted,,Residential,Rising Jr/Sr (16+ by Jun 20; not 19 by Jul 31),Selective (priority Jan 7; regular Feb 11),2 weeks,"Session I: Jun 21-Jul 2; Session II: Jul 5-17; Session III: Jul 19-31","Cambridge, MA",No (non-credit),$6100 + $75 application fee,https://summer.harvard.edu/high-school-programs/pre-college-program/
Harvard Secondary School Program (SSP),College-Credit Pre-College,Leadership/Gifted,4-week or 7-week,Residential/Online,Rising Jr/Sr,"Application (transcripts, counselor)",4 or 7 weeks,"4-Wk: Jul 12-Aug 8; 7-Wk: Jun 20-Aug 8","Cambridge, MA & Online",Yes (4 or 8 college credits),"4-Wk Res $9100; 7-Wk Res $15735; Online $4180-$8160",https://summer.harvard.edu/high-school-programs/secondary-school-program/
UPenn SAS Pre-College Program,College-Credit Pre-College,,,Residential,Entering 11-12,Application,6 weeks,Jun 30 - Aug 8,"Philadelphia, PA",Yes (college credit),~$11000-$15000,https://hs.sas.upenn.edu/summer-programs/pre-college-program
UChicago Summer Session,College-Credit Pre-College,,,Residential/Online,Entering 11-12,Selective application,3-6 weeks,"Session I: Jun 15-Jul 2; Session II: Jul 7-23","Chicago, IL & Online",Yes (UChicago credit),~$4500-$12000,https://summer.uchicago.edu/
NYU Precollege,College-Credit Pre-College,,,Residential/Commuter,Entering 11-12,Rolling,6 weeks,Early Jul - Mid Aug,"New York, NY",Yes (NYU credit),~$700-$16000 (charged by credit),https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/nyu-precollege/explore-precollege.html
UC Berkeley Pre-College,College-Credit Pre-College,,,Residential/Commuter,Entering 11-12,Application,6-8 weeks,Summer cohorts,"Berkeley, CA",Yes (UC credits),UC standard per-credit fees,https://precollege.berkeley.edu/
USC Summer Programs,College-Credit Pre-College,,,Residential,Grades 9-12,Selective application,4 weeks,Jun 14 - Jul 12,"Los Angeles, CA",Yes,~$10000,https://precollege.usc.edu/summer-programs/
University of Rochester Pre-College,College-Credit Pre-College,Biomedical,,Residential/Online,Grades 9-12,"Application, rolling",1-4 weeks,Summer cohorts,"Rochester, NY & Online",Yes (select courses),Varies by track,https://admissions.rochester.edu/pre-college/programs/
Barnard Pre-University Program,College-Credit Pre-College,,,Residential,Entering 11-12,Application,4 weeks,Late Jun - Jul,"New York, NY",Yes (Barnard credit),~$9500,https://precollege.barnard.edu/prebaccalaureate
Stony Brook Pre-College Summer,College-Credit Pre-College,,Residential,Residential,Rising Jr/Sr (ages 15-17),"Selective application (deadline Jun 1, US residents)",1-4 weeks (course-dependent),"Session 1: Jun 28-Jul 3; Session 2: Jul 5-10; Session 3: Jul 12-17; Session 4: Jul 19-24","Stony Brook, NY",No (non-credit),"$2375/wk; 2-wk $4250; 3-wk $6125; 4-wk $8000 (multi-week discounts applied)",https://www.stonybrook.edu/commcms/precollege-summer/index.php
Stony Brook Pre-College Summer,College-Credit Pre-College,,Commuter - Extended Day,Commuter,Rising Jr/Sr (ages 15-17),"Selective application (deadline Jun 1, US residents)",1-4 weeks (course-dependent),"Session 1: Jun 28-Jul 3; Session 2: Jul 5-10; Session 3: Jul 12-17; Session 4: Jul 19-24","Stony Brook, NY",No (non-credit),$1250/week (incl. breakfast/lunch/dinner + college readiness programming),https://www.stonybrook.edu/commcms/precollege-summer/commuter-experience.php
Stony Brook Pre-College Summer,College-Credit Pre-College,,Commuter - Core Day,Commuter,Rising Jr/Sr (ages 15-17),"Selective application (deadline Jun 1, US residents)",1-4 weeks (course-dependent),"Session 1: Jun 28-Jul 3; Session 2: Jul 5-10; Session 3: Jul 12-17; Session 4: Jul 19-24","Stony Brook, NY",No (non-credit),$1000/week (incl. breakfast/lunch),https://www.stonybrook.edu/commcms/precollege-summer/commuter-experience.php
Stony Brook Pre-College Summer,STEM/Engineering,Biomedical,Biotechnology & Cancer Biology courses,Residential/Commuter,Rising Jr/Sr (ages 15-17),Selective application,1-2 weeks,Jun 28-Jul 24 (choose session),"Stony Brook, NY",No,See residential/commuter pricing above,https://www.stonybrook.edu/commcms/precollege-summer/courses/biotechnology.php
Stony Brook Pre-College Summer,STEM/Engineering,Artificial Intelligence,Robotics Engineering & Robotics with AI,Residential/Commuter,Rising Jr/Sr (ages 15-17),Selective application,1-2 weeks,Jun 28-Jul 24 (choose session),"Stony Brook, NY",No,See residential/commuter pricing above,https://www.stonybrook.edu/commcms/precollege-summer/courses/robotics-engineering.php
Stony Brook Pre-College Summer,Biomedical,,"Health Professions, Dental Sciences, How Medicines Are Really Made",Residential/Commuter,Rising Jr/Sr (ages 15-17),Selective application,1-2 weeks,Jun 28-Jul 24 (choose session),"Stony Brook, NY",No,See residential/commuter pricing above,https://www.stonybrook.edu/commcms/precollege-summer/courses/health-professions.php
Stony Brook Pre-College Summer,Mathematics,,"Creative Problem Solving for Math Competitions, Exploring Mathematics",Residential/Commuter,Rising Jr/Sr (ages 15-17),Selective application,1-2 weeks,Jun 28-Jul 24 (choose session),"Stony Brook, NY",No,See residential/commuter pricing above,https://www.stonybrook.edu/commcms/precollege-summer/courses/creative-problem-solving-for-competitions.php
Stony Brook Pre-College Summer,Writing/Humanities,,"Personal Branding Lab, Science Communication, Pre-Law",Residential/Commuter,Rising Jr/Sr (ages 15-17),Selective application,1-2 weeks,Jun 28-Jul 24 (choose session),"Stony Brook, NY",No,See residential/commuter pricing above,https://www.stonybrook.edu/commcms/precollege-summer/courses/pre-law.php
Stony Brook Pre-College Summer,Marine Science,,"Environmental Science in the Worm Lab, Protecting Our Planet, Sustainability in Action",Residential/Commuter,Rising Jr/Sr (ages 15-17),Selective application,1-2 weeks,Jun 28-Jul 24 (choose session),"Stony Brook, NY",No,See residential/commuter pricing above,https://www.stonybrook.edu/commcms/precollege-summer/courses/environmental-science-in-the-worm-lab.php
Salish Sea Sciences,Marine Science,Outdoor/Wilderness,"Field / Ecology",Residential,Ages 14-18,Application,1-4 weeks,"Field: Jun 21-Jul 17; Ecology: Jul 19-Aug 1","Friday Harbor, WA",No,"Field $7400; Ecology $4900",https://salishseasciences.org/
Stony Brook Southampton SoMAS,Marine Science,College-Credit Pre-College,"Oceanography / Shark Biology",Residential,Rising 11-12,Application,13 days,Jun & Jul sessions,"Southampton, NY",Yes (3 college credits),~$1100 in-state; ~$3300 out-of-state,https://www.stonybrook.edu/commcms/southampton/somas_info.php
UC Davis Coastal Marine Science,Marine Science,,,Residential,High school,Application,1-2 weeks,Mid-summer cohorts,"Bodega Bay, CA",No,Contact program,https://cpe.ucdavis.edu/course/uc-davis-pre-college-program-coastal-marine-science
Sea Education Association (SEA),Marine Science,Outdoor/Wilderness,,Residential,High school,Application,2-3 weeks,Jun - Aug cohorts,"Woods Hole, MA & at sea",Yes (some HS/college credit),~$5000-$6500,https://sea.edu/programs/finder/
Sea Turtle Camp,Marine Science,,,Residential,High school,First-come,1-2 weeks,Weekly Jun - Aug,"Topsail Island, NC",No,~$1800-$2500,https://seaturtlecamp.com/
The Island School,Marine Science,Cultural Exchange,,Residential,Rising Soph/Jr/Sr,Highly competitive,6 weeks,Jun 22 - Aug 3,"Eleuthera, Bahamas",Yes,~$15000 (scholarships available),https://islandschool.org/high-school-semester-summer-term/summer-program/
Sunset Bay Beach Camp,Marine Science,Traditional Camp,,Day,Ages 8-16,First-come,1 week,Weekly sessions Jun - Aug,"Ballard, Seattle, WA",No,~$850,https://www.sunsetbaywharf.com/home
Field Studies Council Marine Camp,Marine Science,Cultural Exchange,,Residential,High school,First-come,5 days,Late August,"Pembrokeshire, Wales, UK",No,~$450,https://www.field-studies-council.org/courses-and-experiences/static-courses/marine-science-camp/
Earthwatch Teen Expeditions,Marine Science,Outdoor/Wilderness,,Residential,Ages 15-18,Application,1-2 weeks,Multiple summer dates,"Global (Costa Rica, US, etc.)",No,~$4000-$5500,https://earthwatch.org/teen-expeditions
Copper River Stewardship Program,Marine Science,Outdoor/Wilderness,,Residential,High school,Application,10 days,Early July,"Copper River Basin, AK",No,Free/low-cost (subsidized),https://copperriver.org/programs/watershed-education/copper-river-stewardship-program/
ActionQuest Catamaran,Marine Science,Outdoor/Wilderness,,Residential (liveaboard),Ages 11-18,Application,17-21 days,"Session 1: Jun 15-Jul 5; Session 2: Jul 7-27",British Virgin Islands,Yes (HS credit available),$6970-$7970,https://www.actionquest.com
Dauphin Island Sea Lab,Marine Science,,Residential Marine Science Class,Residential,Rising 9-12,Application (opens Jan 5),4 weeks,Jun 22 - Jul 18,"Dauphin Island, AL",No,$3000,https://www.disl.edu/dhp/summer-camps/marine-science-class/
Dauphin Island Sea Lab,Marine Science,,Coastal Fisheries Camp,Day,Rising 10-12,First-come,5 days,May 24-28,"Dauphin Island, AL",No,$950,https://www.disl.edu/dhp/summer-camps/coastal-fisheries/
SeaTrek BVI,Marine Science,Outdoor/Wilderness,,Residential (liveaboard),Middle school - college age,Application,~3 weeks,Jun 16 - Jul 6,British Virgin Islands,No (optional ASA sailing certification),$7290,https://www.seatrekbvi.com/
Whale Camp,Marine Science,,Teen program,Residential,Teens (various levels),First-come,2-6 days/session,Summer sessions,"Grand Manan, Bay of Fundy, Canada",No,Varies by session (~$1850/wk adult reference),https://whalecamp.com/
Acadia Institute of Oceanography,Marine Science,,Advanced Marine Science (w/ college credit),Residential,Rising 10-12 (ages 15-18),Application + teacher recommendation,2 weeks,Jul 12-24; Jul 26-Aug 7,"Seal Harbor, Mount Desert Island, ME",Yes (4 credits via U. Maine; extra fee),$3300+ (credit fee additional ~$600),https://acadiainstitute.com/advanced-marine-science-camp-program/
University of Miami,Marine Science,Biomedical,Marine Mammal Biology & Conservation,Residential,High school (Summer Scholars),Application,3 weeks,Summer 2026,"Coral Gables, FL & Key Largo",Yes (3 credit hours),Contact program,https://precollege.dcie.miami.edu/summer-programs/academies/credit/index.html
Spinnaker Sailing Keelboat,Outdoor/Wilderness,Marine Science,,Day,Ages 10-17,First-come,1-2 weeks,Weekly Jun - Aug,"Redwood City, CA",No,Contact program,https://www.spinnakersailing.com/
Rosetta Institute Biomedical Camps,Biomedical,STEM/Engineering,"Oncology / Molecular Medicine / Bioinformatics",Residential/Online,Ages 11-18,Rolling,2 weeks,May 31 - Aug 15,"UC Berkeley, UCSD, Columbia University",No,"In-person $1590-1790; Online $570",https://www.rosettainstitute.org/biomedical-summer-camps/
Penn Medicine Summer Program,Biomedical,,,Residential,Entering 11-12,Selective (deadline Feb 26),4 weeks,Jun - Jul,"Philadelphia, PA",No,$11255,https://www.boldsummers.com/summer-programs/penn-medicine-summer-program/
UGA Mini-Medical School Academy,Biomedical,,,Day,Ages 11-13,Rolling waitlist,5 days,Jun 1-5,"Athens, GA",No,$530,https://www.georgiacenter.uga.edu/youth/summer-academy/mini-medical-school-b
Morehouse School of Medicine Camp,Biomedical,Leadership/Gifted,,Day,Completed grades 4-8,Selective,4 weeks,Jun 1-26,"Atlanta, GA",No,$850,https://www.msm.edu/Prospective_Students/admissions/PipelinePrograms/BenCarson.php
Boston Leadership Institute (BLI),Biomedical,Leadership/Gifted,,Residential,Rising 9-12,Application,3 weeks,Late Jun - Jul,"Boston, MA",No,~$2200,https://www.bostonleadershipinstitute.com/
UW INSIGHT High School Program,Biomedical,,,Online,Entering 10-12 or recent grad,Rolling (Feb 23-May 18 window),4 weeks,Jul 6-31,Online (virtual for 2026),No,$2200,https://hiprc.org/training/high-school/insight-hs/
Kentucky Forest & Entomology Leadership Program (KFELP),Biomedical,Leadership/Gifted,Entomology component,Residential,Rising Jr/Sr,Application,1 week (overnight),Early June,"Robinson Forest, Clayhole, KY",No,$500 (incl. $50 application fee),https://entomology.ca.uky.edu/content/entomology-leadership-program
AwesomeMath Summer Program,Mathematics,,,Online,Ages 12-18,Selective admission test,3 weeks/session,"Session 1: Jun 8-26; Session 2: Jun 29-Jul 17",Online,No,$1275 (early) to $1575 (late),https://www.awesomemath.org/
MathPath,Mathematics,,,Residential,Ages 11-14,Highly selective (admission test),4 weeks,Jun 28 - Jul 26,"Portland, OR",No,$6600,http://www.mathpath.org/
PROMYS Boston University,Mathematics,,,Residential,Ages 14-18,Highly competitive (apps close March),6 weeks,Late Jun - Early Aug,"Boston, MA",No,Up to $8000,https://promys.org/
Canada/USA Mathcamp,Mathematics,,,Residential,Ages 13-18,Highly selective (admission quiz),5 weeks,Jul - Aug,Rotating US campuses,No,$7500,https://www.mathcamp.org/
Stanford Math Camp (SUMaC),Mathematics,,,Residential/Online,Rising 11-12,Highly selective,3-4 weeks,Jun 21 - Jul 17,"Stanford, CA & Online",No,"Residential $8250; Online $3550",https://sumac.spcs.stanford.edu/
IMACS Summer Sessions,Mathematics,,,Online,Grades 1-12,"Rolling, open enrollment",1 week per class (stackable),Multiple weeks summer 2026,Online,No,"Varies; 50% off if registered by 4/30",https://www.imacs.org/program/summer/
CyberMath Academy Summer Math & AI Camp,Mathematics,Artificial Intelligence,,Residential/Day,"Ages 9-18 (residential 11-18)",Rolling/selective,1-2 weeks,Jul 20-31,"Harvard/Stanford/Oxford",No,"Day $2899-3899; Residential $7485-8485",https://www.cybermath.org/
